Market_and_Exchange_Names,Report_Date,NonComm_Long,NonComm_Short,Open_Interest,Net
COCOA - ICE FUTURES U.S.,2007-09-04,30400,14709,133991,15691
COCOA - ICE FUTURES U.S.,2007-09-11,31551,13306,132036,18245
COCOA - ICE FUTURES U.S.,2007-09-18,33057,12368,132869,20689
COCOA - ICE FUTURES U.S.,2007-09-25,43203,9117,138930,34086
COCOA - ICE FUTURES U.S.,2007-10-02,48967,8664,144051,40303
COCOA - ICE FUTURES U.S.,2007-10-09,43489,9213,140354,34276
COCOA - ICE FUTURES U.S.,2007-10-16,41054,9794,143105,31260
COCOA - ICE FUTURES U.S.,2007-10-23,41054,11263,144154,29791
COCOA - ICE FUTURES U.S.,2007-10-30,43732,11356,147901,32376
COCOA - ICE FUTURES U.S.,2007-11-06,51313,11576,143592,39737
COCOA - ICE FUTURES U.S.,2007-11-13,51905,13494,138979,38411
COCOA - ICE FUTURES U.S.,2007-11-20,55673,14818,146017,40855
COCOA - ICE FUTURES U.S.,2007-11-27,54992,14525,145525,40467
COCOA - ICE FUTURES U.S.,2007-12-04,63250,19992,160507,43258
COCOA - ICE FUTURES U.S.,2007-12-11,70967,25298,172876,45669
COCOA - ICE FUTURES U.S.,2007-12-18,75463,26373,184057,49090
COCOA - ICE FUTURES U.S.,2007-12-24,78607,27452,191165,51155
COCOA - ICE FUTURES U.S.,2007-12-31,74247,23775,187731,50472
COCOA - ICE FUTURES U.S.,2008-01-08,81029,26931,196218,54098
COCOA - ICE FUTURES U.S.,2008-01-15,86576,27749,206777,58827
COCOA - ICE FUTURES U.S.,2008-01-22,74655,21632,204258,53023
COCOA - ICE FUTURES U.S.,2008-01-29,76186,23255,207450,52931
COCOA - ICE FUTURES U.S.,2008-02-05,84956,27622,200584,57334
COCOA - ICE FUTURES U.S.,2008-02-12,87275,31130,200937,56145
COCOA - ICE FUTURES U.S.,2008-02-19,86307,31892,192412,54415
COCOA - ICE FUTURES U.S.,2008-02-26,80687,32138,196887,48549
COCOA - ICE FUTURES U.S.,2008-03-04,75543,29933,198467,45610
COCOA - ICE FUTURES U.S.,2008-03-11,70364,27203,192730,43161
COCOA - ICE FUTURES U.S.,2008-03-18,60121,23448,187394,36673
COCOA - ICE FUTURES U.S.,2008-03-25,44135,15516,173702,28619
COCOA - ICE FUTURES U.S.,2008-04-01,39421,14085,166276,25336
COCOA - ICE FUTURES U.S.,2008-04-08,41609,14664,149332,26945
COCOA - ICE FUTURES U.S.,2008-04-15,47460,16226,146833,31234
COCOA - ICE FUTURES U.S.,2008-04-22,50476,20903,150214,29573
COCOA - ICE FUTURES U.S.,2008-04-29,54075,23856,153065,30219
COCOA - ICE FUTURES U.S.,2008-05-06,52529,25820,154945,26709
COCOA - ICE FUTURES U.S.,2008-05-13,51536,27960,160013,23576
COCOA - ICE FUTURES U.S.,2008-05-20,49019,29009,163129,20010
COCOA - ICE FUTURES U.S.,2008-05-27,47354,29557,161716,17797
COCOA - ICE FUTURES U.S.,2008-06-03,52603,31000,170628,21603
COCOA - ICE FUTURES U.S.,2008-06-10,57137,32062,168831,25075
COCOA - ICE FUTURES U.S.,2008-06-17,62366,34472,167258,27894
COCOA - ICE FUTURES U.S.,2008-06-24,66033,36029,171704,30004
COCOA - ICE FUTURES U.S.,2008-07-01,70018,36541,174935,33477
COCOA - ICE FUTURES U.S.,2008-07-08,60313,33622,162131,26691
COCOA - ICE FUTURES U.S.,2008-07-15,55462,34291,161694,21171
COCOA - ICE FUTURES U.S.,2008-07-22,51389,32306,166055,19083
COCOA - ICE FUTURES U.S.,2008-07-29,45916,32055,168374,13861
COCOA - ICE FUTURES U.S.,2008-08-05,42887,29454,156327,13433
COCOA - ICE FUTURES U.S.,2008-08-12,41436,28710,147983,12726
COCOA - ICE FUTURES U.S.,2008-08-19,38587,31579,141677,7008
COCOA - ICE FUTURES U.S.,2008-08-26,39975,32581,143513,7394
COCOA - ICE FUTURES U.S.,2008-09-02,37529,30009,144877,7520
COCOA - ICE FUTURES U.S.,2008-09-09,35935,30232,144098,5703
COCOA - ICE FUTURES U.S.,2008-09-16,33284,28121,141935,5163
COCOA - ICE FUTURES U.S.,2008-09-23,31625,25825,138682,5800
COCOA - ICE FUTURES U.S.,2008-09-30,29156,21220,137900,7936
COCOA - ICE FUTURES U.S.,2008-10-07,25144,20909,134137,4235
COCOA - ICE FUTURES U.S.,2008-10-14,24281,20410,135718,3871
COCOA - ICE FUTURES U.S.,2008-10-21,27111,23485,146950,3626
COCOA - ICE FUTURES U.S.,2008-10-28,30216,24861,164042,5355
COCOA - ICE FUTURES U.S.,2008-11-04,29091,22699,163060,6392
COCOA - ICE FUTURES U.S.,2008-11-11,27163,21216,122840,5947
COCOA - ICE FUTURES U.S.,2008-11-18,27976,19402,116001,8574
COCOA - ICE FUTURES U.S.,2008-11-25,28941,19827,118801,9114
COCOA - ICE FUTURES U.S.,2008-12-02,28482,19358,119907,9124
COCOA - ICE FUTURES U.S.,2008-12-09,28680,19822,121252,8858
COCOA - ICE FUTURES U.S.,2008-12-16,28511,16331,122881,12180
COCOA - ICE FUTURES U.S.,2008-12-22,31403,15714,126065,15689
COCOA - ICE FUTURES U.S.,2008-12-30,33190,16278,129660,16912
COCOA - ICE FUTURES U.S.,2009-01-06,32242,14989,130260,17253
COCOA - ICE FUTURES U.S.,2009-01-13,33894,16231,137827,17663
COCOA - ICE FUTURES U.S.,2009-01-20,28895,14278,129693,14617
COCOA - ICE FUTURES U.S.,2009-01-27,28641,11865,133063,16776
